,importance
feature_0,0.3202196307134205
feature_1,0.28410274535731833
feature_19,0.08859585008057304
feature_7,0.06790830209462442
feature_6,0.015369080267562866
feature_3,0.015349743698325187
feature_15,0.015108952979169168
feature_16,0.015068786422186864
feature_14,0.015032553944867648
feature_4,0.015030427598720243
feature_12,0.014975082328845738
feature_11,0.014952743791216784
feature_17,0.014947273163500875
feature_10,0.014872210640671646
feature_9,0.01484553579639791
feature_2,0.014812999571221586
feature_18,0.014750307038677107
feature_8,0.014726806465826223
feature_13,0.014718189008222263
feature_5,0.014612779038651727
